index,name,address,reason
865,Powiatowe Centrum Pomocy Rodzinie w Krakowie,"al. Słowackiego 20
 30-037 Kraków",Service not available
868,Ośrodek Interwencji Kryzysowej w Wadowicach,"ul. E. i K. Wojtyłów 16 
34-100 Wadowice",Service timed out
870,Gminny Ośrodek Pomocy Społecznej w Charsznicy,"ul. Kolejowa 22
32-250 Charsznica",Service not available
877,Powiatowe Centrum Pomocy Rodzinie w Oświęcimiu,"ul. Bema 4, 32-600 Oświęcim","value too long for type character varying(100)
"
880,Miejski Ośrodek Pomocy Społecznej i Wsparcia Rodziny w Dąbrowie Tarnowskiej,"ul. Kościuszki 15A
33-200 Dąbrowa Tarnowska",Service timed out
884,Gminny Ośrodek Pomocy Społecznej w Lipinkach,38-305 Lipinki 44,Geocoding failed
892,Ośrodek Pomocy Społecznej w Babicach,"ul. Krakowska 56
 32-551 Babice",Service not available
901,Gminny Ośrodek Pomocy Społecznej w Kłaju,32-015 Kłaj 652,Service not available
902,Ośrodek Pomocy Społecznej w Tuchowie,"ul. Jana Pawła II 4 (I piętro)
33-170 Tuchów",Geocoding failed
908,Ośrodek Pomocy Społecznej w Lipnicy Wielkiej,34-483 Lipnica Wielka 518,Geocoding failed
909,Gminny Ośrodek Pomocy Społecznej w Rzepienniku Strzyżewskim,33-163 Rzepiennik Strzyżewski 400,Geocoding failed
910,Urząd Gminy Przeciszów,"ul. Podlesie 1 
32-641 Przeciszów",Service not available
914,Gminny Ośrodek Pomocy Społecznej w Igołomi - Wawrzeńczycach,32 - 125 Wawrzeńczyce 57,Geocoding failed
917,Urząd Miasta Gorlice,"Rynek 2
 38-300 Gorlice",Service not available
922,Gminny Ośrodek Pomocy Społecznej w Drwinie,32-709 Drwinia 57,Geocoding failed
924,Gminny Ośrodek Pomocy Społecznej w Lanckoronie,"ul. 3 Maja 11
34-143 Lanckorona",Service not available
927,Gminny Ośrodek Pomocy Społecznej w Szaflarach,"ul. Zakopiańska 18
 34-424 Szaflary",Service not available
931,Gminny Ośrodek Pomocy Społecznej w Żegocinie,32-731 Żegocina 316,Geocoding failed
932,Gminny Ośrodek Pomocy Społecznej w Bolesławiu (Punkt Informacyjno - Konsultacyjny dla Osób Uzależnionych i Ofiar Przemocy w Rodzinie),"ul. Główna 46
32-329 Bolesław",Service not available
935,Gminny Ośrodek Pomocy Społecznej w Łapanowie,32-740 Łapanów 34,Geocoding failed
936,Gminny Ośrodek Pomocy Społecznej w Tokarni,32-436 Tokarnia 380,Geocoding failed
937,Gminny Ośrodek Pomocy Społecznej w Stryszowie,34-146 Stryszów 557,Geocoding failed
942,Miejsko-Gminny Ośrodek Pomocy Społecznej w Kalwarii Zebrzydowskiej,"al. Jana Pawła II 7
34-130 Kalwaria Zebrzydowska",Service timed out
945,Urząd Gminy Czernichów,"Tresna ul. Żywiecka 2
34-311 Czernichów",Geocoding failed
946,Urząd Gminy Spytkowice,34-745 Spytkowice 26,Geocoding failed
948,Gminny Ośrodek Pomocy Społecznej w Iwkowej,32-861 Iwkowa 468,Geocoding failed
950,Urząd Gminy Raciechowice,32-415 Raciechowice 277,Geocoding failed
951,Gminny Ośrodek Pomocy Społecznej w Niedżwiedziu,34-735 Niedźwiedź 233,Geocoding failed
952,Gminny Ośrodek Pomocy Społecznej w Tymbarku,34-650 Tymbark 49,Geocoding failed
953,Urząd Miasta i Gminy Świątniki Górne,"ul. K. Bruchnalskiego 36
32-040 Świątniki Górne",Geocoding failed
957,Ośrodek Pomocy Społecznej w Oświęcimiu,"Grojec, ul. Beskidzka 100
 32-600 Oświęcim",Service not available
959,Ośrodek Pomocy Społecznej w Korzennej,33-322 Korzenna 325,Service not available
963,Gminny Ośrodek Pomocy Społecznej w Borzęcinie,32-825 Borzęcin 563 A,Geocoding failed
964,Urząd Gminy Trzciana,32-733 Trzciana 302,Geocoding failed
975,Gminny Ośrodek Pomocy Społecznej w Ryglicach,ul. Ks. J. Wyrwy 2 33-160 Ryglice,Geocoding failed
979,Gminny Ośrodek Pomocy Społecznej w Łukowicy,34-606 Łukowica 286,Geocoding failed
980,Gminny Ośrodek Pomocy Społecznej w Kętach,"ul. Żwirki i Wigury 8, 32-650 Kęty",Service not available
982,Ośrodek Pomocy Społecznej w Bukowinie Tatrzańskiej,"ul. Długa 144
34-530 Bukowina Tatrzańska",Service not available
987, Specjalny Ośrodek Szkolno-Wychowawczego w Złotej ,32-859 Złota 292,Geocoding failed
992,Urząd Miasta Chełmek,"ul. Krakowska 11
 32-660 Chełmek",Service not available
999,Gminny Ośrodek Pomocy Społecznej w Słaboszowie,32-218 Słaboszów 57,Geocoding failed
1001,Miejski Ośrodek Pomocy Społecznej w Bukownie,"ul.Wojska Polskiego 3, 32-332 Bukowno",Geocoding failed
1004,Ośrodek Pomocy Społecznej w Muszynie,"ul.Piłsudskiego 119
33-370 Muszyna",Geocoding failed
1005,Gminny Ośrodek Pomocy Społecznej w Wielkiej Wsi,"Plac Wspólnoty 2
 32-085 Szyce",Service not available
1009,Gminny Ośrodek Pomocy Społecznej w Skrzyszowie,33-156 Skrzyszów 638,Geocoding failed
1011,Gminny Ośrodek Pomocy Społecznej w Rabie Wyżnej,34-721 Raba Wyżna 41,Service timed out
1013,Gminny Ośrodek Pomocy Społecznej w Gnojniku,32-864 Gnojnik 363,Service not available
1016,Urząd Gminy Biskupice,"Tomaszkowice 455
32-020 Wieliczka",Service not available
1025,Zespół Ośrodków Wsparcia Ośrodek Interwencji Kryzysowej i Specjalistyczny Ośrodek Wsparcia dla Osób Doznających Przemocy Domowej,"ul. Ks. J. Popiełuszki 24
05-820 Piastów",Geocoding failed
1032,Powiatowe Centrum Pomocy Rodzinie w Pułtusku,"ul. 3 Maja 20
 06-100 Pułtusk",Service not available
1036,Miejsko Gminny Ośrodek Pomocy Społecznej w Kosowie Lackim,"ul. Kolejowa 2
08-330 Kosów Lacki",Service timed out
1037,Urząd Miasta Karczew,"ul. Warszawska 28
 05-480 Karczew",Service timed out
